text	hd	cv	vo
https://www.youtube.com/watch?v=kACWpKAKtak A talk on natural law.	0	0	0
Very nice! I tend to get tired of the constant stream of ridiculously large breasted anime women that get posted.	0	0	0
Watch today. https://circumcisionmovie.com/	0	0	0
""" Thinking Venues "" First Color Layer blocking in Figure #Art #OilPaintings #FiguretiArt juantarrats.com"	0	0	0
What about death penalty for perpetrators  and expelling the remaining rest of their family tribes? Everything else is just to calm down emotions but not a solution.	0	0	0
You have insecurities? Fuck you 	0	0	0
Powerful Truths About Donald Trump the Media Doesn't Want You to Know - The Political Insider http://lsh.re/1QVXE	0	0	0
Just saw an Oreo cookie commercial. Drool.	0	0	0
 I bet a neural net with half a dozen nodes could probably identify an NPC, it'd be that easy	0	0	0
Country by country, the 'Prague Spring' that was internet freedom is being crushed under the tanks of governments of every political persuasion.  https://techcrunch.com/2017/07/29/apple-removes-vp...	0	0	0
Nope.  Peter Ridd is part of the Galileo Movement, a front for Australian coal-sellers.	0	0	0
Mental illness is a family illness.  At least she is out of the gene pool now. 	1	0	0
Exit 73 I-45 north of downtown Houston -  about 73 miles from the Gulf ( whew.! ) :-)	0	0	0
IQ cannot be altered stupid, a nigger with an IQ of 65, will die as low IQ nigger with an IQ 65, mildly retarded by Canadian standards.  Maybe if they drank more camel piss or ate more human heart?	1	0	0
I don't know, but I just realized that Trump has been a conservative all along. He lived in NY and had his main business interest there so he was just pretending to be a dem all of those years.	0	0	0
I signed up at Gab & just found this book club & would like to give you the 1st chapter of my book as a gift.  This'll reveal the way to know & understand God solving the mysteries & secrets in the Holy Bible.  Those who aren't offended by this are called The Elect. The rest of the book is pure prophecy http://erickbennett.com/key-of-david.html  @roscoeellis	0	0	0
🏆 Precious Metals: 	0	0	0
@Scarecrow23 	0	0	0
And no fracking is not a boom with the locals here.  Once the plant is up and running it doesn't take many employs to maintain it at all.  Most of the grunt work is subcontracted out and the subcontractors get paid squat.	0	0	0
At this weeks NATO meeting while Sajjan and Freeland are applauding the speaker, Justin just has no idea what's going on.	0	0	0
Sludge leader Schumer spewing slime in the Senate now.	0	0	0
Pedophile Gang Captured, Shot, Killed, Hung in Public Square  	0	0	0
Spoken like a fucking dum shit  You are a gutless pussy boy  You would give up your children in place of your dollars .  You and the dum shits like you are what's wrong with our white race  Anny man who says shit like That deserves a traitors death o by the way fuck you	1	0	1
I agree with you, no argument.  I'm just saying the story is a puss move.	0	0	0
How about sharp sticks? They still legal?	0	0	0
My latest piece:  GWOT Veterans, If You Suffer From PTSD, You're Malingerers! https://www.patreon.com/posts/gwot-veterans-if-199...	1	0	0
Luckily for protesting Brits, the Presidents security detail have been told “don’t shoot until you see the brown of their teeth”	1	0	0
I bought some Bitcoin.	0	0	0
It is coming up to the time that we commemorate our fighting men in two world wars. I know two of these, my grandfather in WW1 and my dear old dad in WW2 both of these men fought for freedom from a tyrant nationand free speech in a free country. Do not let other people try to change our values, traditions, and way of life. If you don’t like, just push off somewhere else.	0	0	0
